DATE,SALES,COST_OF_SALES,QUANTITY_SOLD
2014-05-04,93082.04396,91601.50654,2642
2014-05-05,110887.01330,109460.15320,3154
2014-05-06,119385.57540,115693.10660,3324
2014-05-07,91719.58938,93157.17058,2677
2014-05-08,96335.44895,93696.21614,2683
2014-05-09,303226.29840,325836.94010,9328
2014-05-10,431695.70920,465253.81570,13306
2014-05-11,200407.27710,215907.82490,6173
2014-05-12,183413.70830,197835.49510,5653
2014-05-13,146166.60110,157693.18930,4503
2014-05-14,201120.72760,218098.76190,6253
2014-05-15,270123.55080,289864.79850,8408
2014-05-16,415315.38390,441790.76720,12949
2014-05-17,498716.99760,526707.37700,15508
2014-05-18,166433.17210,174376.63250,5141
2014-05-19,168520.62940,175540.11550,5194
2014-05-20,178123.53210,187748.17220,5550
2014-05-21,194878.80260,204460.66540,6070
2014-05-22,115475.09690,115011.32260,3421
2014-05-23,430521.02450,449274.18630,13384
2014-05-24,590642.82570,614245.79410,18356
2014-05-25,210764.71800,217364.46300,6500
2014-05-26,218189.34850,225607.59520,6752
2014-05-27,226132.46390,234496.51280,7023
2014-05-28,243720.86800,252929.29470,7579
2014-05-29,207429.42900,215118.84650,6448
2014-05-30,503149.43130,521651.08610,15637
2014-05-31,603748.78950,626259.38680,18775
2014-06-01,456017.46310,473223.98070,14188
2014-06-02,425845.19600,442155.99120,13256
2014-06-03,328217.77000,340913.59170,10223
2014-06-04,286405.99880,296902.67250,8904
2014-06-05,184989.88870,192824.89010,5783
2014-06-06,288118.30440,300213.55940,9005
2014-06-07,391930.87800,407438.91960,12222
2014-06-08,193772.58110,201254.71250,6037
2014-06-09,214177.98340,220255.21920,6607
2014-06-10,188334.52120,195254.78100,5857
2014-06-11,174324.99480,180978.60100,5429
2014-06-12,200271.56430,207757.70300,6232
2014-06-13,468701.63020,486180.54440,14585
2014-06-14,473425.75420,492135.29230,14745
2014-06-15,224232.12140,233554.03220,6991
2014-06-16,185606.27500,193340.31540,5788
2014-06-17,212687.50940,221403.64500,6632
2014-06-18,184259.69240,192057.51080,5752
2014-06-19,113735.81620,119544.01980,3578
2014-06-20,203165.08300,205350.64310,6119
2014-06-21,203345.24460,206918.91260,6161
2014-06-22,134944.48900,135372.52700,4015
2014-06-23,138298.21020,139206.02690,4133
2014-06-24,36692.67986,35299.06424,1047
2014-06-25,56077.54269,53925.25763,1601
2014-06-26,55780.70745,53688.24120,1592
2014-06-27,131721.23830,127302.42710,3759
2014-06-28,146169.07660,141012.32940,4172
2014-06-29,62073.58541,60083.86984,1772
2014-06-30,93619.84699,90294.37609,2672
2014-07-01,180183.03140,173842.92090,5143
2014-07-02,104760.70620,101615.73200,2990
2014-07-03,93450.53368,90927.08966,2667
2014-07-04,98087.55590,95423.27399,2799
2014-07-05,117562.26290,114395.62760,3355
2014-07-06,70153.08097,68252.24221,2002
2014-07-07,68918.41529,66990.88135,1967
2014-07-08,108417.40280,105373.30000,3094
2014-07-09,81802.60821,79496.49424,2335
2014-07-10,103998.55970,101270.97110,2968
2014-07-11,134018.08930,130633.26270,3825
2014-07-12,99277.29950,96688.49781,2833
2014-07-13,49705.23200,48370.30899,1419
2014-07-14,75384.57455,73393.44659,2151
2014-07-15,110288.23420,107437.38100,3148
2014-07-16,156536.68620,164641.35400,4825
2014-07-17,80823.05920,78844.86050,2307
2014-07-18,124615.68560,121612.17890,3557
2014-07-19,242758.95050,255779.85450,7485
2014-07-20,85078.24369,83020.51413,2428
2014-07-21,86738.06743,84643.27183,2475
2014-07-22,56673.61581,55278.70783,1618
2014-07-23,165742.17050,173725.35750,5106
2014-07-24,95618.24880,92416.90384,2729
2014-07-25,515698.79580,538260.27180,15897
2014-07-26,562590.36650,586670.51410,17343
2014-07-27,266305.92590,277238.01040,8207
2014-07-28,292634.74570,304508.37900,9018
2014-07-29,212360.99310,221017.07310,6548
2014-07-30,198019.33210,205903.82490,6102
2014-07-31,295508.32730,307222.39540,9108
2014-08-01,611894.67320,636341.31590,18867
2014-08-02,628685.21880,653779.96350,19384
2014-08-03,307272.68370,319500.00950,9473
2014-08-04,362106.53260,376645.75090,11170
2014-08-05,262349.59100,272809.29040,8091
2014-08-06,80697.90350,77649.63653,2303
2014-08-07,103272.62270,99367.23322,2947
2014-08-08,439421.42210,456509.62190,13542
2014-08-09,408616.35060,424340.94940,12588
2014-08-10,195866.77300,203331.43480,6032
2014-08-11,232347.35320,241134.52780,7158
2014-08-12,190325.18110,197438.11160,5863
2014-08-13,197698.11860,205114.12890,6092
2014-08-14,177908.83560,184687.52910,5485
2014-08-15,473321.88250,491559.42300,14587
2014-08-16,541600.89220,562953.37080,16686
2014-08-17,239513.97900,249203.12080,7380
2014-08-18,255224.22260,265532.54620,7864
2014-08-19,160372.03970,167021.15780,4941
2014-08-20,171587.33230,174723.17540,5151
2014-08-21,164208.06060,167239.64880,4928
2014-08-22,376778.83570,384006.04530,11309
2014-08-23,453633.47400,463250.07130,13613
2014-08-24,214392.40090,218347.79780,6424
2014-08-25,316404.06230,323293.39660,9493
2014-08-26,242824.50130,259860.51250,7619
